Year,Diameter,Tap_Hole_Made,Area_of_Overlap_Between_This_Tap_Hole_and_Other_Nonconductive_Wood_Columns,Proportion_of_Exposed_Tissue_in_the_Tap_Hole_That_Overlaps_With_Other_Nonconductive_Wood_Columns
1,0.980857709,FALSE,NA,NA
2,1.48602429,FALSE,NA,NA
3,1.977085382,FALSE,NA,NA
4,2.844020227,FALSE,NA,NA
5,3.732166913,FALSE,NA,NA
6,3.953514861,FALSE,NA,NA
7,4.367628027,FALSE,NA,NA
8,5.487093999,FALSE,NA,NA
9,6.261870358,FALSE,NA,NA
10,6.646280176,FALSE,NA,NA
11,7.145280018,FALSE,NA,NA
12,7.489647294,FALSE,NA,NA
13,7.965679715,FALSE,NA,NA
14,8.296267478,FALSE,NA,NA
15,8.602173858,FALSE,NA,NA
16,9.683497617,FALSE,NA,NA
17,10.87233997,FALSE,NA,NA
18,11.55141617,FALSE,NA,NA
19,11.93126767,FALSE,NA,NA
20,12.37831032,FALSE,NA,NA
21,12.90310222,FALSE,NA,NA
22,13.23756785,FALSE,NA,NA
23,13.52364258,FALSE,NA,NA
24,14.08867413,FALSE,NA,NA
25,14.3142697,FALSE,NA,NA
26,14.72290526,FALSE,NA,NA
27,15.10753382,FALSE,NA,NA
28,15.53521155,FALSE,NA,NA
29,15.90731087,FALSE,NA,NA
30,16.62878107,FALSE,NA,NA
31,17.47478939,FALSE,NA,NA
32,18.04784747,FALSE,NA,NA
33,18.45982269,FALSE,NA,NA
34,18.91800515,FALSE,NA,NA
35,19.31725477,FALSE,NA,NA
36,19.78560598,FALSE,NA,NA
37,20.07179713,FALSE,NA,NA
38,20.36988572,FALSE,NA,NA
39,20.7319133,FALSE,NA,NA
40,21.59641905,FALSE,NA,NA
41,22.70018465,FALSE,NA,NA
42,23.28308271,FALSE,NA,NA
43,23.99725928,FALSE,NA,NA
44,24.35450159,FALSE,NA,NA
45,24.84598947,FALSE,NA,NA
46,25.32191045,TRUE,0,0
47,25.71972448,TRUE,0,0
48,26.66577842,TRUE,0,0
49,27.5980553,TRUE,0,0
50,28.21677243,TRUE,0,0
51,28.61737847,TRUE,0,0
52,29.2035635,TRUE,0,0
53,29.62848011,TRUE,0,0
54,29.93639219,TRUE,0,0
55,30.55659958,TRUE,0,0
56,31.03302099,TRUE,0,0
57,31.5941231,TRUE,0,0
58,32.25044928,TRUE,0,0
59,32.50041451,TRUE,0,0
60,33.31884972,TRUE,0,0
61,33.88916725,TRUE,0,0
62,34.34138824,TRUE,0,0
63,34.79070317,TRUE,0,0
64,35.48922472,TRUE,0,0
65,36.29688693,TRUE,0,0
66,36.68830961,TRUE,0,0
67,37.57649086,TRUE,0,0
68,37.9820681,TRUE,0,0
69,38.7504014,TRUE,0,0
70,39.5733716,TRUE,0,0
71,39.9408449,TRUE,0,0
72,40.25435169,TRUE,0,0
73,40.87521719,TRUE,0,0
74,41.90333201,TRUE,0,0
75,42.13734311,TRUE,0,0
76,42.49069485,TRUE,0,0
77,42.76139191,TRUE,0,0
78,43.31535766,TRUE,0,0
